firm name,website,ticker,hq country,hq state,hq city,permno,score,pbid,firm name from pitchbook,website from pitchbook,company profile,investor profile,limited partner profile,service provider profile,unnamed: 14
TOMPKINS FINANCIAL CORP,tompkinsfinancial.com,TMP,USA,NY,Ithaca,10308,Very High,41083-75,Tompkins Financial,www.tompkinsfinancial.com,Yes,Yes,No,Yes,true
TONIX PHARMACEUTICALS HLDG,tonixpharma.com,TNXP,USA,NJ,Chatham,14107,Very High,41665-33,Tonix Pharmaceuticals Holding,www.tonixpharma.com,Yes,Yes,No,No,true
TOOTSIE ROLL INDUSTRIES INC,tootsie.com,TR,USA,IL,Chicago,14816,Very High,41317-30,Tootsie Roll Industries,www.tootsie.com,Yes,Yes,No,No,true
TOPBUILD CORP,topbuild.com,BLD,USA,FL,Daytona Beach,15397,Very High,110267-92,TopBuild,www.topbuild.com,Yes,Yes,No,No,true
TOPGOLF CALLAWAY BRANDS CORP,topgolfcallawaybrands.com,ELY,USA,CA,Carlsbad,77366,,,,,,,,,
TORO CO,thetorocompany.com,TTC,USA,MN,Bloomington,60580,Very High,95445-91,The Toro,www.thetorocompany.com,Yes,Yes,No,No,true
TOTAL SYSTEM SERVICES INC,tsys.com,TSS,USA,GA,Columbus,76639,Very High,52931-08,Total System Services,www.tsys.com,Yes,Yes,No,Yes,true
TOWER INTERNATIONAL INC,towerinternational.com,TOWR,USA,MI,Livonia,12340,Very High,10329-94,Tower International,www.towerinternational.com,Yes,Yes,No,No,true
TOWN SPORTS INTL HOLDINGS,townsportsinternational.com,CLUB,USA,FL,Jupiter,91349,Very High,11962-36,Town Sports International Holdings,www.townsportsinternational.com,Yes,Yes,No,No,true
TOWNEBANK,townebank.com,TOWN,USA,VA,Portsmouth,92318,Very High,59376-34,TowneBank,www.townebank.com,Yes,Yes,No,Yes,true
TOWNSQUARE MEDIA INC,townsquaremedia.com,TSQ,USA,NY,Purchase,14778,Very High,25299-64,Townsquare Media,www.townsquaremedia.com,Yes,Yes,No,No,true
TPG RE FINANCE TRT INC,tpgrefinance.com,TRTX,USA,NY,New York,16813,Very High,183801-79,TPG RE Finance Trust,www.tpgrefinance.com,Yes,Yes,No,Yes,true
TPI COMPOSITES INC,tpicomposites.com,TPIC,USA,AZ,Scottsdale,16188,Very High,13113-10,TPI Composites,www.tpicomposites.com,Yes,Yes,No,No,true
TRACTOR SUPPLY CO,tractorsupply.com,TSCO,USA,TN,Brentwood,80286,Very High,41226-85,Tractor Supply,www.tractorsupply.com,Yes,Yes,No,No,true
TRADE DESK INC,thetradedesk.com,TTD,USA,CA,Ventura,16309,Very High,53587-00,The Trade Desk,www.thetradedesk.com,Yes,Yes,No,Yes,true
TRADEWEB MARKETS INC,tradeweb.com,TW,USA,NY,New York,18480,Very High,62939-53,Tradeweb Markets,www.tradeweb.com,Yes,Yes,No,No,true
TRAEGER INC,traegergrills.com,COOK,USA,UT,Salt Lake City,21684,Very High,12196-18,Traeger Pellet Grills,www.traeger.com,Yes,Yes,No,No,true
TRANE TECHNOLOGIES PLC,tranetechnologies.com,TT,IRL,,Swords,12431,Very High,42220-18,Trane Technologies,www.tranetechnologies.com,Yes,Yes,No,Yes,true
TRANSCAT INC,transcat.com,TRNS,USA,NY,Rochester,76946,Very High,41060-98,Transcat,www.transcat.com,Yes,Yes,No,No,true
TRANSCONTINENTAL RLTY INVS,transconrealty-invest.com,TCI,USA,TX,Dallas,89317,Very High,41959-90,Transcontinental Realty Investors,www.transconrealty-invest.com,Yes,Yes,No,No,true
TRANSDIGM GROUP INC,transdigm.com,TDG,USA,OH,Cleveland,91152,Very High,10305-46,TransDigm Group,www.transdigm.com,Yes,Yes,No,No,true
TRANSLATE BIO INC,translate.bio,TBIO,USA,MA,Lexington,17899,Very High,53652-79,Translate Bio,www.translate.bio,Yes,Yes,No,No,true
TRANSMEDICS GROUP INC,transmedics.com,TMDX,USA,MA,Andover,18676,Very High,14161-51,TransMedics,www.transmedics.com,Yes,No,No,No,true
TRANSOCEAN LTD,deepwater.com,RIG,CHE,,Steinhausen,79237,Very High,11738-62,Transocean,www.deepwater.com,Yes,Yes,No,No,true
TRANSUNION,transunion.com,TRU,USA,IL,Chicago,15478,Very High,42446-53,TransUnion,www.transunion.com,Yes,Yes,No,No,true
TRAVEL PLUS LEISURE CO,travelandleisureco.com,TNL,USA,FL,Orlando,91392,Very High,10325-80,Travel + Leisure,www.travelandleisureco.com,Yes,Yes,No,No,true
TRAVELCENTERS OF AMERICA INC,ta-petro.com,TA,USA,OH,Westlake,91727,Very High,10141-75,TravelCenters of America,www.ta-petro.com,Yes,Yes,No,No,true
TRAVELERS COS INC,travelers.com,TRV,USA,NY,New York,59459,Very High,13481-74,Travelers Companies,www.travelers.com,Yes,Yes,Yes,Yes,true
TRAVELPORT WORLDWIDE LTD,travelport.com,TVPT,GBR,,Langley,14918,Very High,10457-65,Travelport Worldwide,www.travelport.com,Yes,Yes,No,No,true
TRAVELZOO,travelzoo.com,TZOO,USA,NY,New York,89941,Very High,41483-08,Travelzoo,www.travelzoo.com,Yes,Yes,No,No,true
TRAVERE THERAPEUTICS INC,travere.com,RTRX,USA,CA,San Diego,14440,,,,,,,,,
TRC COS INC,trcsolutions.com,TRR,USA,MA,Lowell,74406,High,,,,,,,,true
TREACE MEDIC CNCPTS INC,treace.com,TMCI,USA,FL,Ponte Vedra,21105,Very High,107379-28,Treace Medical Concepts,www.treace.com,Yes,No,No,No,true
TRECORA RESOURCES,trecora.com,TREC,USA,TX,Sugar Land,14761,Very High,97679-08,Trecora Resources,www.trecora.com,Yes,Yes,No,No,true
TREDEGAR CORP,tredegar.com,TG,USA,VA,Richmond,75649,Very High,41098-42,Tredegar,www.tredegar.com,Yes,Yes,No,No,true
TREEHOUSE FOODS INC,treehousefoods.com,THS,USA,IL,Oak Brook,90775,Very High,42049-18,Treehouse Foods,www.treehousefoods.com,Yes,Yes,No,Yes,true
TREVENA INC,trevena.com,TRVN,USA,PA,Chesterbrook,14442,Very High,42157-18,Trevena,www.trevena.com,Yes,No,No,No,true
TREX CO INC,trex.com,TREX,USA,VA,Winchester,86810,Very High,41276-08,Trex,www.trex.com,Yes,Yes,No,No,true
TRI POINTE HOMES INC,tripointehomes.com,TPH,USA,NV,Incline Village,13748,Very High,51045-40,TRI Pointe Homes,www.tripointehomes.com,Yes,Yes,No,No,true
TRIBUNE MEDIA CO,tribunemedia.com,TRCO,USA,IL,Chicago,15117,Very High,10825-75,Tribune Media,www.tribunemedia.com,Yes,Yes,No,No,true
TRIBUNE PUBLISHING CO,tribpub.com,TRNC,USA,IL,Chicago,14781,,,,,,,,,
TRICIDA INC,tricida.com,TCDA,USA,CA,South San Francisco,17900,Very High,61312-96,Tricida,www.tricida.com,Yes,No,No,No,true
TRICO BANCSHARES,tcbk.com,TCBK,USA,CA,Chico,79116,Very High,41225-41,Tri Counties Bank,www.tcbk.com,Yes,Yes,No,Yes,true
TRILLIUM THERAPEUTICS INC,,TRIL,USA,MA,Cambridge,15137,High,,,,,,,,true
TRIMAS CORP,trimascorp.com,TRS,USA,MI,Bloomfield Hills,92029,Very High,10306-45,TriMas,www.trimascorp.com,Yes,Yes,No,No,true
TRIMBLE INC,trimble.com,TRMB,USA,CO,Westminster,76230,Very High,41074-57,Trimble,www.trimble.com,Yes,Yes,No,No,true
TRINET GROUP INC,trinet.com,TNET,USA,CA,Dublin,14521,Very High,11462-41,TriNet Group,www.trinet.com,Yes,Yes,No,Yes,true
